# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 39.9920 fs, Time steps = [8.0000] as
# Kick = [0, 0, 0.001]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
   15.900000    -0.0000000000e+00    -0.0000000000e+00     6.2050121569e-03
   15.950000     0.0000000000e+00    -0.0000000000e+00     9.0616315673e-03
   16.000000     0.0000000000e+00    -0.0000000000e+00     1.2752853812e-02
   16.050000     0.0000000000e+00    -0.0000000000e+00     1.7079895415e-02
   16.100000     0.0000000000e+00    -0.0000000000e+00     2.1681541132e-02
   16.150000     0.0000000000e+00    -0.0000000000e+00     2.6053753230e-02
   16.200000     0.0000000000e+00    -0.0000000000e+00     2.9624501426e-02
   16.250000     0.0000000000e+00    -0.0000000000e+00     3.1869592952e-02
   16.300000     0.0000000000e+00    -0.0000000000e+00     3.2436113711e-02
   16.350000     0.0000000000e+00    -0.0000000000e+00     3.1232248515e-02
   16.400000     0.0000000000e+00    -0.0000000000e+00     2.8451280584e-02
   16.450000    -0.0000000000e+00    -0.0000000000e+00     2.4520840919e-02
   16.500000    -0.0000000000e+00    -0.0000000000e+00     1.9995785759e-02
   16.550000    -0.0000000000e+00    -0.0000000000e+00     1.5432021583e-02
   16.600000    -0.0000000000e+00    -0.0000000000e+00     1.1281361779e-02
   16.650000    -0.0000000000e+00    -0.0000000000e+00     7.8347345747e-03
   16.700000    -0.0000000000e+00     0.0000000000e+00     5.2205613143e-03
   16.750000    -0.0000000000e+00     0.0000000000e+00     3.4466735591e-03
   16.800000     0.0000000000e+00     0.0000000000e+00     2.4641720919e-03
   16.850000     0.0000000000e+00     0.0000000000e+00     2.2308962568e-03
   16.900000     0.0000000000e+00     0.0000000000e+00     2.7571341374e-03
   16.950000     0.0000000000e+00     0.0000000000e+00     4.1225302263e-03
   17.000000     0.0000000000e+00     0.0000000000e+00     6.4587069063e-03
   17.050000     0.0000000000e+00     0.0000000000e+00     9.8977363581e-03
   17.100000     0.0000000000e+00     0.0000000000e+00     1.4494385617e-02
   17.150000     0.0000000000e+00     0.0000000000e+00     2.0140521148e-02
   17.200000     0.0000000000e+00     0.0000000000e+00     2.6500049390e-02
   17.250000     0.0000000000e+00     0.0000000000e+00     3.2995971060e-02
   17.300000     0.0000000000e+00     0.0000000000e+00     3.8871552652e-02
   17.350000     0.0000000000e+00     0.0000000000e+00     4.3324438467e-02
   17.400000     0.0000000000e+00     0.0000000000e+00     4.5682963445e-02
   17.450000     0.0000000000e+00     0.0000000000e+00     4.5571339112e-02
