# Kick = [    1.000000000000e-03,     0.000000000000e+00,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
         35.14016734      -1.94289029e-16     1.037113048766e-02    -7.441141036679e-10     7.545608582404e-11
         35.55358108      -1.94289029e-16     9.566760873564e-03    -7.055800388400e-10     1.083875211805e-10
         35.96699481       5.55111512e-17     8.819621622355e-03    -6.381397632538e-10     1.071689403886e-10
         36.38040854      -2.77555756e-16     8.058449910673e-03    -5.780287359869e-10     7.334799434489e-11
         36.79382228      -9.99200722e-16     7.328518981761e-03    -5.150853077396e-10    -1.958877504649e-12
         37.20723601      -2.49800181e-16     6.632999435851e-03    -4.848197399099e-10    -9.139000667346e-11
         37.62064974       3.60822483e-16     5.907217817616e-03    -4.612861204123e-10    -1.774589364345e-10
         38.03406348      -3.60822483e-16     5.180561837077e-03    -4.652451757181e-10    -2.376241425850e-10
         38.44747721      -1.94289029e-16     4.392388025946e-03    -4.910853945717e-10    -2.450719627234e-10
         38.86089094      -2.77555756e-17     3.496885404818e-03    -5.446465500825e-10    -1.942499494589e-10
         39.27430468       1.38777878e-16     2.580543555375e-03    -5.971902972135e-10    -1.105475710972e-10
         39.68771841      -4.16333634e-16     1.677018676156e-03    -6.387179674050e-10    -2.417532840582e-11
         40.10113214      -4.44089210e-16     8.566583195755e-04    -6.566702737132e-10     5.242828393648e-11
         40.51454588      -6.66133815e-16     1.307319498687e-04    -6.664473417572e-10     1.124140780462e-10
         40.92795961      -4.16333634e-16    -6.532760189515e-04    -6.862941326347e-10     1.638253976921e-10
         41.34137334      -5.55111512e-16    -1.479320689692e-03    -7.117537670354e-10     2.060538406568e-10
         41.75478708      -6.10622664e-16    -2.204098565362e-03    -7.324749695670e-10     2.385545094796e-10
         42.16820081      -3.88578059e-16    -2.812982215898e-03    -7.891065578747e-10     2.541087340546e-10
         42.58161454      -1.11022302e-16    -3.410886254606e-03    -8.280678365225e-10     2.560227585491e-10
         42.99502828      -5.55111512e-16    -4.167124531575e-03    -8.441585208629e-10     2.374500596147e-10
         43.40844201      -7.21644966e-16    -5.137231264034e-03    -8.235669923806e-10     1.843449837224e-10
         43.82185574      -1.11022302e-16    -6.200351074575e-03    -7.815472713446e-10     1.025743934235e-10
         44.23526948      -1.38777878e-16    -7.201758935306e-03    -7.157887615961e-10     9.209655260634e-11
         44.64868321      -3.05311332e-16    -8.032301208098e-03    -6.965841237161e-10     1.575140018417e-11
         45.06209695      -4.99600361e-16    -8.726632808594e-03    -6.711955435890e-10     1.639133273557e-11
         45.47551068      -4.44089210e-16    -9.424680779842e-03    -9.666840661282e-10    -2.879350091689e-10
         45.88892441       5.55111512e-17    -1.019005996946e-02    -7.173501792579e-10     1.596376364432e-10
         46.30233815      -6.66133815e-16    -1.098324059705e-02    -6.490341597498e-10     2.961999534534e-10
         46.71575188       5.55111512e-17    -1.173742950339e-02    -7.046008221323e-10     2.790865316626e-10
         47.12916561       5.55111512e-17    -1.243145516890e-02    -7.649076927407e-10     2.975986124198e-10
         47.54257935      -6.66133815e-16    -1.305364356081e-02    -7.702842808044e-10     3.055513619898e-10
         47.95599308      -2.49800181e-16    -1.353600954950e-02    -7.364473475491e-10     2.987530223209e-10
         48.36940681       2.77555756e-16    -1.389411682060e-02    -8.113101301888e-10     3.423044070416e-10
         48.78282055      -5.55111512e-17    -1.434750322979e-02    -8.570610887659e-10     5.794824620153e-10
         49.19623428      -6.10622664e-16    -1.514393036505e-02    -8.654152949816e-10     3.988236407793e-10
         49.60964801      -9.43689571e-16    -1.625545853621e-02    -8.158231867839e-10     3.441373852553e-10
         50.02306175      -2.77555756e-17    -1.732572044609e-02    -7.744289653999e-10     3.632403267062e-10
         50.43647548       0.00000000e+00    -1.803369175900e-02    -7.563483173101e-10     3.558677796889e-10
         50.84988921      -4.16333634e-16    -1.841918811512e-02    -7.399474366565e-10     3.286355632071e-10
         51.26330295       2.77555756e-17    -1.873602704004e-02    -6.834821597579e-10     3.186435559854e-10
         51.67671668      -8.32667268e-16    -1.914991957058e-02    -5.696922933396e-10     3.095457223878e-10
         52.09013041       1.11022302e-16    -1.964029966487e-02    -4.776423701003e-10     2.511759689128e-10
         52.50354415      -3.33066907e-16    -2.010757153543e-02    -4.536486741813e-10     1.554667505843e-10
         52.91695788      -3.88578059e-16    -2.055492301927e-02    -4.116218477179e-10     2.056712578025e-10
         53.33037161      -3.33066907e-16    -2.101943470528e-02    -3.730062925200e-10     2.775815133305e-10
         53.74378535      -9.99200722e-16    -2.142496535905e-02    -3.471387621801e-10     3.704856421649e-10
         54.15719908      -4.44089210e-16    -2.177425524399e-02    -3.830693540152e-10     3.814755178411e-10
         54.57061281      -6.93889390e-16    -2.220243924965e-02    -2.302436019619e-10     4.933478070512e-10
         54.98402655      -1.94289029e-16    -2.273540937641e-02    -4.350089177763e-10     4.562306088474e-10
         55.39744028       1.94289029e-16    -2.327008815372e-02    -4.626279359599e-10     5.004625602822e-10
         55.81085401      -6.38378239e-16    -2.364680401066e-02    -4.994504809730e-10     5.287859039527e-10
         56.22426775       2.22044605e-16    -2.377212503249e-02    -5.285329951477e-10     5.342597475533e-10
         56.63768148      -4.16333634e-16    -2.381218049522e-02    -5.353744114700e-10     5.248050882756e-10
         57.05109521      -3.05311332e-16    -2.399433766004e-02    -4.834626032846e-10     5.010911685588e-10
         57.46450895      -5.55111512e-17    -2.435246866420e-02    -3.852229646384e-10     4.571900635852e-10
